City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Mokhsogollokh,RU,2021-05-27 16:03:27,61.4681,128.9203,41.74,95,31,3.98
208,Vila Franca Do Campo,PT,2021-05-27 16:03:28,37.7167,-25.4333,66.61,66,62,9.93
209,Mount Gambier,AU,2021-05-27 16:03:28,-37.8333,140.7667,50.2,88,42,7.45
210,Codrington,AU,2021-05-27 16:03:28,-38.2667,141.9667,53.04,72,100,15.23
211,Iringa,TZ,2021-05-27 16:03:19,-7.7667,35.7,61.81,76,72,4.97
212,Kungurtug,RU,2021-05-27 16:03:29,50.5994,97.5228,47.97,90,86,1.54
213,Kahului,US,2021-05-27 16:03:29,20.8947,-156.47,75.85,84,97,8.01
214,San Cristobal,VE,2021-05-27 16:01:21,7.7669,-72.225,69.89,84,73,5.19
215,Kondopoga,RU,2021-05-27 16:03:30,62.2057,34.2614,51.13,75,93,5.35
216,Akniste,LV,2021-05-27 16:03:30,56.1615,25.7478,57.06,78,96,6.06
217,Thinadhoo,MV,2021-05-27 16:03:30,0.5333,72.9333,84.74,71,80,19.1
218,Saskylakh,RU,2021-05-27 16:03:32,71.9167,114.0833,29.57,87,100,7.9
219,Emerald,AU,2021-05-27 16:03:32,-23.5333,148.1667,54.34,44,0,17.58
220,Sandpoint,US,2021-05-27 15:59:09,48.2766,-116.5533,64.49,66,1,5.75
221,Aquiraz,BR,2021-05-27 16:03:32,-3.9014,-38.3911,87.89,66,26,13.33
222,Nantucket,US,2021-05-27 16:03:33,41.2835,-70.0995,82.62,68,1,11.5
223,Aswan,EG,2021-05-27 16:03:33,24.0934,32.907,101.89,7,0,3.29
224,Canalete,CO,2021-05-27 16:03:34,8.6761,-76.2042,81.19,82,98,4.56
225,San Patricio,US,2021-05-27 16:03:34,28.017,-97.5169,86.07,70,32,16.04
226,Sambava,MG,2021-05-27 16:03:35,-14.2667,50.1667,76.21,77,3,11.88
227,Le Marin,MQ,2021-05-27 16:03:35,14.4721,-60.8697,87.71,62,75,16.49
